리뷰내용,별점,작성일,제품명,카테고리
"배송이 하루 만에 왔어요. 포장도 꼼꼼하고 제품 상태도 완벽합니다. 재구매 의사 있습니다.",5,2026-06-01,무선 이어폰 X200,전자기기
"음질이 가격 대비 정말 훌륭해요. 저음이 특히 만족스럽습니다.",5,2026-06-01,무선 이어폰 X200,전자기기
"착용감이 편해서 두 시간 넘게 껴도 귀가 아프지 않네요.",4,2026-06-02,무선 이어폰 X200,전자기기
"노이즈캔슬링은 기대만큼은 아니지만 이 가격이면 납득합니다.",4,2026-06-02,무선 이어폰 X200,전자기기
"충전 케이스 뚜껑이 조금 헐거운 느낌인데 사용에는 지장 없어요.",3,2026-06-03,무선 이어폰 X200,전자기기
"흡입력이 생각보다 강해서 놀랐습니다. 원룸 청소가 10분이면 끝나요.",5,2026-06-03,로봇청소기 CleanBot,가전
"앱 연동이 쉬워서 설정하는 데 5분도 안 걸렸어요. 초보자도 무리 없습니다.",5,2026-06-04,로봇청소기 CleanBot,가전
"매핑 기능이 정확해서 가구 밑도 알아서 잘 피해 다닙니다.",5,2026-06-04,로봇청소기 CleanBot,가전
"소음이 조금 있지만 성능을 생각하면 감수할 만합니다.",4,2026-06-05,로봇청소기 CleanBot,가전
"높이 조절이 부드럽고 흔들림이 없어요. 재택근무 만족도가 확 올라갔습니다.",5,2026-06-05,스탠딩 데스크 프로,가구
"조립이 30분 정도 걸렸는데 설명서가 친절해서 어렵지 않았어요.",4,2026-06-06,스탠딩 데스크 프로,가구
"상판 마감이 깔끔하고 튼튼합니다. 모니터 두 대 올려도 안정적이에요.",5,2026-06-06,스탠딩 데스크 프로,가구
"휴대성이 좋아서 사무실에 들고 다니며 잘 쓰고 있습니다.",5,2026-06-07,휴대용 블렌더 미니,주방
"과일 스무디가 알갱이 없이 곱게 갈립니다. 아침마다 사용해요.",5,2026-06-07,휴대용 블렌더 미니,주방
"세척이 간편한 게 제일 마음에 듭니다. 물만 넣고 돌리면 끝이에요.",4,2026-06-08,휴대용 블렌더 미니,주방
"수면 측정이 생각보다 정확해서 놀랐어요. 배터리도 사흘은 갑니다.",5,2026-06-08,스마트워치 FitPro,웨어러블
"운동 기록이 자동으로 잡혀서 편합니다. 러닝할 때 특히 유용해요.",5,2026-06-09,스마트워치 FitPro,웨어러블
"화면이 밝아서 야외에서도 잘 보입니다. 스트랩 착용감도 좋아요.",4,2026-06-09,스마트워치 FitPro,웨어러블
"가격 대비 성능은 만족하지만 앱 UI가 좀 촌스럽습니다.",3,2026-06-10,스마트워치 FitPro,웨어러블
"무난합니다. 특별히 좋지도 나쁘지도 않아요.",3,2026-06-10,무선 이어폰 X200,전자기기
"배송은 예정일보다 이틀 빨랐고 제품도 정상입니다.",5,2026-06-11,로봇청소기 CleanBot,가전
"기능은 설명대로 동작합니다. 다만 매뉴얼이 부실해요.",3,2026-06-11,로봇청소기 CleanBot,가전
"디자인이 깔끔해서 거실에 두어도 눈에 거슬리지 않습니다.",4,2026-06-12,로봇청소기 CleanBot,가전
"전동 모터 소리가 조용해서 통화 중에도 조절할 수 있어요.",5,2026-06-12,스탠딩 데스크 프로,가구
"배송 기사님이 조립까지 도와주셔서 감사했습니다.",5,2026/06/13,스탠딩 데스크 프로,가구
"책상 흔들림이 약간 있는데 벽에 붙이니 괜찮아졌습니다.",4,2026.06.13,스탠딩 데스크 프로,가구
"칼날 내구성이 걱정되지만 두 달째 문제없이 쓰고 있어요.",4,2026-06-14,휴대용 블렌더 미니,주방
"얼음은 잘 안 갈립니다. 과일 위주로만 쓰세요.",3,2026-06-14,휴대용 블렌더 미니,주방
"용량이 작아서 1인분만 가능합니다. 혼자 살면 충분해요.",4,2026-06-15,휴대용 블렌더 미니,주방
"심박수 측정이 운동 중에는 튀는 편입니다. 일상에서는 괜찮아요.",3,2026-06-15,스마트워치 FitPro,웨어러블
